,eus, eng, fin, fra, deu, ell, heb, hin, ind, jpn, kor, cmn, pes, rus, spa, tgl, tha, tur, vie
amp,0.43726856612886233,0.33530594871160335,0.31879879057704386,0.373037671780601,0.3545027756320972,0.4363981380233656,0.3545027756320971,0.4337791414950696,0.2398830499339082,0.3113828724268495,0.3096547410341861,0.3649147038914117,0.2957047877262361,0.37377570891485057,0.3210652601667956,0.25934392018195884,0.2957047877262361,0.46473563867193945,0.4141139945795619
aey,0.39752476687122207,0.374021142704832,0.3071534819019055,0.3623195906339408,0.39599040884527625,0.29937726917166985,0.44194766034617916,0.3990602969966388,0.28635875985993686,0.2329070521401695,0.3589093635837033,0.4127797804852965,0.34097150667955933,0.29937726917166985,0.3722351794256554,0.2152939742820693,0.2263578556673087,0.4269317449387472,0.40409812366332487
apu,0.4591579514705888,0.44466982038465774,0.36371523702422215,0.4073502957155982,0.41756479396350943,0.49549540450276564,0.3759622792466173,0.44466982038465774,0.34052199232760594,0.36597704169128775,0.3551741197808389,0.5038610616431662,0.39477246733119753,0.46186176480295005,0.3701561330747939,0.3370064558682041,0.36451109069775744,0.4552952205980778,0.4278704323093768
arz,0.3279398267439837,0.26801157789705143,0.3047653380110176,0.31319718025655496,0.35350237148658503,0.3630052551849672,0.3686546596548682,0.24874872468381592,0.24511013206173204,0.3842103930510574,0.36588962039362183,0.39013216553895547,0.20643991448067012,0.3630052551849672,0.3480238606380015,0.2755820673755571,0.31665659302502147,0.36074326444276206,0.39570217808015107
ape,0.3881476259145318,0.29767875444010006,0.21333266189011224,0.30922080391197226,0.3141993141989713,0.38395889636630254,0.33324933324899997,0.37033267639457246,0.13720403718542373,0.16129032258064513,0.20277289626738504,0.3184457989035222,0.2240164063368294,0.35315684118461776,0.3017467481732462,0.08923488892162545,0.14087530701577544,0.36258490520525277,0.31884872781908014
bsn,0.40682898599826056,0.45505073908693405,0.3756094589455373,0.4448638899972992,0.45566894604818264,0.47192131041244045,0.5237103277921598,0.5069506686977021,0.2912164159344294,0.3086988701797164,0.3988666026900839,0.4827064734673431,0.34669474199185146,0.47192131041244045,0.3819299537992623,0.2518099440727912,0.28730335490020154,0.4654775161751512,0.46663711665787133
mya,0.4084393446496237,0.13458901658647415,0.24280236115151843,0.23862829528418195,0.23674827776849283,0.34959336874346203,0.3295761899317843,0.31160489955742265,0.18250178723265953,0.24025435025974318,0.2566182365476892,0.40035471478122464,0.30226883826016726,0.34959336874346203,0.3589522254620007,0.2110181236455393,0.18973155410858134,0.32477629509048433,0.25531914893617025
cha,0.35059458316733616,0.22269966924244522,0.24668971647410998,0.29615060765666623,0.38857040156191835,0.3683797081617468,0.37724763122047245,0.3090663726599513,0.1282051282051282,0.28100336432118644,0.2365777165856482,0.3164009272185251,0.2340423727835288,0.39584145998080134,0.2962684494510033,0.18800205705884987,0.1846257516727886,0.3822922361157489,0.3460014297861276
dgz,0.3787392558026045,0.2723485834398186,0.1810653826488876,0.2348350402259033,0.23683275592813724,0.3133563508694881,0.32299679961367,0.34276646246177167,0.16375798999290925,0.1558377107010248,0.2559270508582149,0.3118976467960246,0.24789856690964507,0.2835022791681615,0.2938121363962003,0.11726517049525043,0.11359473957208166,0.3553416287796958,0.2636367616274128
fij,0.3222610063301139,0.3192938361211206,0.2375436321213782,0.35439206519060595,0.3845425451033364,0.3133563508694881,0.3537696723585032,0.34276646246177167,0.1916327236598122,0.3434293305452416,0.28454524120982183,0.3118976467960246,0.24789856690964507,0.3133563508694881,0.20553865344572542,0.20553865344572542,0.27475933237715777,0.3822023942472085,0.3905959406571693
kat,0.32407741195515605,0.3707467950343074,0.3781512189987436,0.40477088955568086,0.34003367089255565,0.48550424457247354,0.2339676537145735,0.2808534800392085,0.2794233078771079,0.43124987691521277,0.452003375648809,0.3675444679663241,0.2284832501895403,0.39975495200121913,0.4083920216900384,0.38022021319908783,0.45993827513267826,0.33135215016426833,0.44085086592473743
gug,0.3866121408779353,0.3128057972917174,0.33327406617166877,0.3451238093431399,0.3955122785321399,0.32333935067847885,0.41876180628090354,0.401476016996012,0.2629026229102811,0.37993447487463283,0.32432432432432423,0.3761497061079564,0.31508250926701464,0.4079219318436691,0.22192197987258022,0.2774989813102531,0.2897151947954225,0.3911844526817907,0.32855840720436447
hau,0.4132811782310686,0.3793084620699383,0.3066050288185356,0.3677057469519972,0.3955122785321399,0.4079219318436691,0.44782371596685844,0.3793084620699383,0.2102528102610154,0.2618267558031342,0.3513513513513513,0.4541309928444619,0.2643478803238305,0.2951451569567488,0.3330759827479258,0.22192197987258022,0.2897151947954225,0.4165517671533828,0.37651852097548133
jac,0.33327406617166877,0.401476016996012,0.35994310352480197,0.3902876845608545,0.3955122785321399,0.436116125565399,0.30251416753708427,0.3793084620699383,0.3155524355595467,0.2618267558031342,0.32432432432432423,0.24618089488044737,0.2897151947954225,0.4079219318436691,0.3886529841855988,0.24971048059141665,0.31508250926701464,0.46728639609656697,0.4004985778610396
kew,0.4484471681554074,0.3527681320352877,0.286225747024645,0.3406692930462927,0.3777460325558383,0.4169048105154699,0.36360389693210726,0.4336721155308767,0.23138486173558181,0.2097366710821904,0.21088486093428505,0.30429891476295656,0.2902045901743773,0.4169048105154699,0.25626425583890544,0.15484574527148331,0.2284832501895404,0.47536861012888754,0.3581940374092639
khk,0.3601228833141442,0.3062540649056795,0.24883990649921284,0.34040001359583627,0.2966466873946344,0.3823529411764707,0.363343984279626,0.32937892940882363,0.28599445270458346,0.38395889636630254,0.3515335444002089,0.4034412409986956,0.31196703876754794,0.2941176470588235,0.3042747572170619,0.2752862054344394,0.338429844968796,0.3648926511700442,0.39962464807088804
naq,0.3255467265665377,0.33745865113108686,0.264232792618041,0.3769910420186019,0.3852991436014239,0.3517962764478356,0.33184689521893895,0.33745865113108686,0.2132042075305569,0.38904019002808243,0.28542476909862,0.37250498009944344,0.24182460342425438,0.31938609027022746,0.23334812200007204,0.26529195025006913,0.3001457877762348,0.38762756430420553,0.39355036893803164
laj,0.3587635299467786,0.23247742111980252,0.25616569473826334,0.19641135088832173,0.2844582472000674,0.32209231931669946,0.41303215590630526,0.25379749275536356,0.18980850633306678,0.2616496154788157,0.27217465712594924,0.375,0.29247244711231335,0.2949760120893675,0.2783946468364541,0.22494239845396924,0.19488243981746012,0.36566495258345344,0.2619750335768919
plt,0.32987597123972523,0.3218967284249241,0.21333266189011224,0.28455011833739985,0.3141993141989713,0.291552730821248,0.39674939674909515,0.37033267639457246,0.16596390261257632,0.22580645161290314,0.32088061533888357,0.3752419823282287,0.19630270656314475,0.22994862045787823,0.24102907410135455,0.1499525629935171,0.25173010611051405,0.334871205431568,0.31884872781908014
arn,0.38794362751787714,0.3525037939119676,0.3601228833141442,0.3639571559674136,0.44216806241643414,0.3529411764705883,0.3936609374091675,0.4218783874213996,0.25853270088552893,0.2607506756395631,0.2951451569567488,0.2949760120893675,0.338429844968796,0.3823529411764707,0.2752862054344394,0.33326330899968426,0.31196703876754794,0.4178182635725405,0.3746090084071749
mig,0.3787392558026045,0.29582120978046955,0.2657827568576234,0.3304806601976654,0.3845425451033364,0.43277263767479446,0.3845425451033363,0.34276646246177167,0.1916327236598122,0.3434293305452416,0.28454524120982183,0.3669458350523427,0.22103780144213236,0.3730644942721414,0.2938121363962003,0.2643876420793754,0.3016200978446705,0.3822023942472085,0.4159877764631206
hae,0.27993599146540227,0.24630313251349645,0.22659791675913576,0.25479605890771095,0.3025141675370844,0.2951451569567488,0.36063798690899396,0.29063824236564384,0.07862827863785138,0.2618267558031342,0.2702702702702703,0.35015594386245463,0.16287862243746232,0.23875676951328872,0.1941334791537438,0.1941334791537438,0.23898056585223837,0.31508250926701464,0.304578350318806
qvi,0.39752476687122207,0.374021142704832,0.36740100521478336,0.3623195906339408,0.39599040884527625,0.36307024470151794,0.4091210521312486,0.4491386055802523,0.28635875985993686,0.2996107867366765,0.3589093635837033,0.35405775853382626,0.3123180939264967,0.29937726917166985,0.2466822153107866,0.2780704563395039,0.34097150667955933,0.45558515769180985,0.40409812366332487
sag,0.4025470165139493,0.2658830209511982,0.19473728312749694,0.18617414010302036,0.23005161678167485,0.31345620452363776,0.37724763122047245,0.3090663726599513,0.17948717948717952,0.1947237680397289,0.2892275292349139,0.3670378955727084,0.2340423727835288,0.25853270088552893,0.3233350475490415,0.18800205705884987,0.1846257516727886,0.357583925560379,0.22921597081936462
xsu,0.4909721896193777,0.3653369375824659,0.36371523702422215,0.3804116727935799,0.389829784152248,0.5291290442025813,0.4106310415106941,0.44466982038465774,0.27771456302547315,0.36597704169128775,0.2584502377479647,0.3798263270539577,0.33424971406431736,0.49549540450276564,0.3701561330747939,0.2707071014550245,0.30398833743087716,0.515817973864958,0.3992639539248458
swh,0.2906275712866041,0.24189523274320968,0.18928865289897612,0.24917593975474783,0.31532453833595153,0.22327620319190866,0.39262660658834403,0.347187561528875,0.09971861809536042,0.27070947251082134,0.3067801759498193,0.3332825222615271,0.18066342238980404,0.25005978239218773,0.1816563001098952,0.1816563001098952,0.25295782629658603,0.30115409556777406,0.31659146649772796
mzh,0.34042976512213496,0.3564127522592253,0.34042976512213496,0.34438204290884666,0.3500000000000001,0.42397789053870916,0.28125,0.3802493169903651,0.23571300195239797,0.33324933324899997,0.2734522578511295,0.3571304564688105,0.23623738417402662,0.363343984279626,0.2529821191660039,0.2231014039326441,0.31806909301252373,0.454455274410019,0.35536172108825403
yad,0.4692680401037068,0.37720084467078163,0.3443899318928143,0.3655587314254847,0.4012358406530009,0.4389163923132179,0.4216482551761941,0.4291007742815499,0.2912164159344294,0.2741338136887024,0.2406736033980007,0.3914193805498154,0.31699904844602655,0.4389163923132179,0.2843399465044091,0.21927994164117348,0.2576076613543766,0.4951732097209761,0.38242192455121937
yaq,0.32987597123972523,0.3218967284249241,0.24246848922751552,0.3338914894865447,0.33959933959900945,0.291552730821248,0.3649993649990475,0.37033267639457246,0.16596390261257632,0.19354838709677413,0.2618267558031342,0.3468438906158754,0.2240164063368294,0.291552730821248,0.21067023706540888,0.05887605188567979,0.16858900678945998,0.36258490520525277,0.34504685367219234
yor,0.3419098034715019,0.2934444259502448,0.20480767919473142,0.21058211763862755,0.2589582622126759,0.33326330899968426,0.37250498009944333,0.2934444259502448,0.18800205705884987,0.24102907410135455,0.3052874820290894,0.3852991436014239,0.2436212301119134,0.2462976536518171,0.2857142857142856,0.19999999999999996,0.19145717701618337,0.3740313628512386,0.3096408581898469
