,eus, eng, fin, fra, deu, ell, heb, hin, ind, jpn, kor, cmn, pes, rus, spa, tgl, tha, tur, vie
amp,0.1339745962155613,0.2614510541240036,0.2928932188134524,0.32063377951324257,0.3453463292920228,0.2254033307585167,0.3453463292920228,0.2928932188134524,0.2614510541240036,0.2254033307585167,0.42264973081037416,0.4338614829277021,0.2928932188134524,0.2254033307585167,0.3545027756320972,0.2254033307585167,0.2928932188134524,0.2614510541240036,0.41074434901121026
aey,0.057190958417936755,0.19596974779263043,0.23019964108049906,0.2603997383663612,0.28730335490020176,0.1567259572884323,0.28730335490020176,0.23019964108049906,0.19596974779263043,0.36754446796632423,0.29289321881345254,0.35284977107056603,0.23019964108049906,0.1567259572884323,0.26213521262737816,0.1567259572884323,0.23019964108049906,0.19596974779263043,0.3264246859454366
apu,0.4696699141100894,0.5477329831333546,0.5669872981077806,0.44529980377477096,0.5991081371313635,0.5256583509747432,0.5991081371313635,0.42264973081037416,0.5477329831333546,0.5256583509747432,0.4696699141100894,0.5839748528310782,0.5669872981077806,0.5256583509747432,0.5256583509747432,0.5256583509747432,0.5669872981077806,0.5477329831333546,0.5669872981077806
arz,0.2440710539815455,0.27475933237715766,0.2284832501895404,0.18462575167278872,0.1428571428571429,0.23936117074433505,0.0714285714285714,0.2284832501895404,0.27475933237715766,0.23936117074433505,0.43305329048615915,0.33287561500500884,0.07417990022744858,0.15484574527148343,0.23936117074433505,0.3238765962171868,0.38278660015163235,0.19417703597461966,0.38278660015163235
ape,0.057190958417936755,0.19596974779263043,0.23019964108049906,0.2603997383663612,0.28730335490020176,0.1567259572884323,0.28730335490020176,0.1339745962155613,0.19596974779263043,0.36754446796632423,0.29289321881345254,0.2603997383663612,0.23019964108049906,0.1567259572884323,0.26213521262737816,0.1567259572884323,0.1339745962155613,0.19596974779263043,0.3264246859454366
bsn,0.4696699141100894,0.5477329831333546,0.5669872981077806,0.44529980377477096,0.5991081371313635,0.5256583509747432,0.5991081371313635,0.42264973081037416,0.5477329831333546,0.5256583509747432,0.4696699141100894,0.5839748528310782,0.5669872981077806,0.5256583509747432,0.5256583509747432,0.5256583509747432,0.5669872981077806,0.5477329831333546,0.5669872981077806
mya,0.2440710539815455,0.11359473957208166,0.2284832501895404,0.33287561500500884,0.2857142857142857,0.15484574527148343,0.3571428571428571,0.2284832501895404,0.11359473957208166,0.3238765962171868,0.3385621722338523,0.18462575167278872,0.3056349251705863,0.23936117074433505,0.23936117074433505,0.15484574527148343,0.07417990022744858,0.27475933237715766,0.1513315752084945
cha,0.10557280900008426,0.14188366967896682,0.17841616374225078,0.29835358455437677,0.23936117074433505,0.20000000000000007,0.3238765962171868,0.26970325665977857,0.04653741075440754,0.4,0.2173762078750736,0.29835358455437677,0.26970325665977857,0.20000000000000007,0.30000000000000004,0,0.0871290708247231,0.2372299286035261,0.17841616374225078
dgz,0.1339745962155613,0.2614510541240036,0.2928932188134524,0.32063377951324257,0.3453463292920228,0.2254033307585167,0.3453463292920228,0.2928932188134524,0.2614510541240036,0.2254033307585167,0.42264973081037416,0.4338614829277021,0.2928932188134524,0.2254033307585167,0.3545027756320972,0.2254033307585167,0.2928932188134524,0.2614510541240036,0.41074434901121026
fij,0.375,0.25379749275536345,0.3876275643042054,0.5097096621545399,0.43305329048615915,0.3291796067500632,0.527544408738466,0.4896896369201712,0.25379749275536345,0.6645898033750316,0.25,0.411651594585448,0.4896896369201712,0.44098300562505255,0.3291796067500632,0.2173762078750736,0.28556549168823964,0.4669982091109739,0.28556549168823964
kat,0.3135935270163559,0.33100639199432746,0.2794233078771078,0.23076923076923073,0.18462575167278872,0.29835358455437677,0.1105008200066786,0.2794233078771078,0.33100639199432746,0.21064778262367367,0.411651594585448,0.3846153846153847,0.11929515407202074,0.21064778262367367,0.29835358455437677,0.38605938648507965,0.43955146168219505,0.24738219099361825,0.43955146168219505
gug,0.25,0.25379749275536345,0.28556549168823964,0.21553545944726393,0.3385621722338523,0.2173762078750736,0.3385621722338523,0.18350341907227397,0.25379749275536345,0.44098300562505255,0.375,0.3135935270163559,0.28556549168823964,0.2173762078750736,0.2173762078750736,0.3291796067500632,0.3876275643042054,0.25379749275536345,0.28556549168823964
hau,0.18350341907227397,0.21665054819935958,0.2499999999999999,0.2794233078771078,0.3056349251705863,0.17841616374225078,0.2284832501895404,0.2499999999999999,0.21665054819935958,0.26970325665977857,0.28556549168823964,0.2794233078771078,0.2499999999999999,0.17841616374225078,0.26970325665977857,0.26970325665977857,0.2499999999999999,0.21665054819935958,0.16666666666666663
jac,0,0.14719713457755823,0.18350341907227397,0.21553545944726393,0.2440710539815455,0.10557280900008426,0.2440710539815455,0.18350341907227397,0.14719713457755823,0.3291796067500632,0.25,0.3135935270163559,0.18350341907227397,0.10557280900008426,0.2173762078750736,0.10557280900008426,0.18350341907227397,0.14719713457755823,0.28556549168823964
kew,0,0.14719713457755823,0.18350341907227397,0.21553545944726393,0.2440710539815455,0.10557280900008426,0.2440710539815455,0.18350341907227397,0.14719713457755823,0.3291796067500632,0.25,0.3135935270163559,0.18350341907227397,0.10557280900008426,0.2173762078750736,0.10557280900008426,0.18350341907227397,0.14719713457755823,0.28556549168823964
