,eus, eng, fin, fra, deu, ell, heb, hin, ind, jpn, kor, cmn, pes, rus, spa, tgl, tha, tur, vie
amp,0.23891175337616977,0.4541309928444618,0.4176748639268917,0.4388574580545933,0.4213086133955054,0.42945566926545187,0.4404971150558117,0.1851230827640885,0.5807372542187894,0.3852991436014239,0.2910824430414334,0.3938967818010606,0.49930603714000665,0.41445995623088006,0.38266900209400645,0.5364474653494467,0.6366389536562842,0.3844129887489075,0.6247223250267433
aey,0.2901272135795485,0.5999644397030013,0.480475666533869,0.5494364431104171,0.5547063736042359,0.5551217394986954,0.4259621521180722,0.34129703048041815,0.5698454989926967,0.42417107803756415,0.4025470165139492,0.5133357366077125,0.5133357366077125,0.5744677518265049,0.518640137658767,0.6245303692586809,0.483814598791236,0.44736842105263164,0.5853557855686353
apu,0.2664647873655335,0.4132811782310686,0.32461836649402953,0.3992485908138894,0.43101369960541247,0.3443899318928143,0.3781256647945782,0.3666317600773251,0.45513763205741575,0.5886936271696888,0.5584043165537885,0.4862988330859187,0.43222502604233115,0.3742172820978015,0.34129703048041815,0.3992485908138894,0.5411685322588765,0.4736842105263158,0.5261208977927261
arz,0.36215203539787955,0.358129792546129,0.349796779735538,0.2770559609321802,0.4045931147130738,0.25612255139936824,0.14801709674176755,0.3902439024390244,0.2545871989947859,0.7096199774583499,0.6248827575397335,0.45339183338987876,0.40133391276034336,0.30115409556777417,0.24390243902439024,0.2770559609321802,0.2821950805134975,0.5439748672556741,0.28716756435974866
ape,0.3542281543797805,0.24618089488044725,0.3164009272185251,0.2680749452886001,0.3007479078529024,0.2925250298891604,0.25399615340774906,0.3579757621777667,0.35713045646881036,0.5991081371313635,0.5695857689894417,0.3675444679663241,0.4729537233052702,0.29247244711231346,0.23450956259656808,0.3168699489360267,0.2732779073125683,0.5126602827595518,0.30717967697244897
bsn,0.4084393446496237,0.4932882902904683,0.3765707998406427,0.4993738256782412,0.40627516480564785,0.3678045771823567,0.4498803957798191,0.41730121927113906,0.6558763991941574,0.5338527774589805,0.532428099880482,0.6485202542166812,0.3511143154769498,0.42427989952997724,0.3919664896742321,0.5494364431104171,0.741907299395618,0.3421052631578947,0.7334430050084084
mya,0.46278688875289054,0.6051264051305077,0.5384615384615384,0.6046670311140794,0.5116137094944957,0.6070873610071293,0.5986366600475972,0.4748358605556269,0.6320099639030063,0.24213525325492646,0.23076923076923084,0.4128634360480138,0.5196155385847385,0.5305420994479693,0.6498905737037513,0.6787919627801895,0.5753961121957767,0.4025470165139492,0.6491767922771883
cha,0.45757496000630826,0.36086448346676236,0.3774682437451181,0.34794933630337377,0.4329068115508863,0.29247244711231357,0.3769440171509665,0.49843450651896803,0.31274354963272355,0.6285714285714286,0.5940010285294249,0.4083920216900385,0.436563830180989,0.34794933630337377,0.34004540331443156,0.13929312392045323,0.34262426486608355,0.5064323526036264,0.3210652601667956
dgz,0.304578350318806,0.5945945945945946,0.3945271545334451,0.568755653982935,0.5236583999642948,0.4779631023361256,0.4182566013235365,0.2811053676516645,0.5350094450247229,0.5553839884986174,0.420852060858078,0.5342028693014876,0.4794032068663686,0.518021025039751,0.512178642335058,0.568755653982935,0.5350094450247229,0.4666192529373351,0.5797898423686351
fij,0.4822306436423852,0.44422998562327165,0.4586680380392332,0.478359469042699,0.5102377008848562,0.41445995623088017,0.3769440171509665,0.604027241988659,0.31274354963272355,0.7428571428571429,0.6752008228235399,0.5492510641447912,0.49290744716289003,0.4522774424948339,0.41923995491669985,0.2436212301119136,0.28286283439936377,0.6435344768803969,0.29020459017437705
