Target ↓ Transfer →	mBERT no ft	Basque	English	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	51.8008679	-2.742770101	-3.320091225	-5.941542818	-5.996478058	0.4461096269	-8.660271133	-5.874350545	46.23926595	-4.252700864	-11.71803624	-3.459231905	-7.658497337	4.645730663	-5.236110302	1.111368765	6.963219506	-7.689149963	-4.31231705	-2.033351854
Amele	59.91689054	-16.54732224	-17.84856302	-17.89609249	-18.50626106	-16.62734576	-19.54254423	-20.71792713	22.92193161	-17.34835555	-22.40248557	-16.11843924	-19.25331801	-5.501353437	-19.46555133	-15.04298705	-8.194206087	-18.83974755	-18.05377535	-16.25573791
Apurina	29.32544665	-1.583289584	-1.076211333	-3.146881682	-2.865885896	1.554714008	-3.554385223	-3.457596609	13.41282404	-1.058347579	-5.640206564	1.138448455	-1.908630974	8.336216857	-2.453370719	1.702788718	3.517751054	-4.400500906	-1.770763337	-0.2262494555
Arabic_Egyptian	4.240622007	-0.5705363467	-0.3544695578	-0.5180567185	-0.4507825388	-0.3689488194	-0.4040965501	-0.4509374462	-0.4385099467	-0.4688182944	-0.6518673934	-0.2518247363	-0.3618618095	0.2304314988	-0.4655991284	-0.3496898183	-0.2533920364	-0.508368013	-0.5107837826	-0.3884308469
Arapesh_Mountain	37.84268822	-0.4829267533	-0.2426104276	-2.010932242	-3.596000387	0.8881532492	-4.745539254	-2.952364673	39.0668168	0.4744835289	-7.052225761	-0.4210329518	-2.009056577	9.015579617	-2.187485405	2.376093107	5.855568577	-4.04612836	-1.791385878	1.343333318
Barasano	19.36236698	0.4629943403	1.281572043	2.048821959	1.197183	3.755421082	-0.69129313	-0.1061782527	11.71534711	2.191000496	-2.366815887	1.271022399	0.4076596789	8.448616039	-0.03665651513	4.530388026	7.627598935	-0.6060875159	0.6929078961	1.556963674
Burmese	3.27413421	-0.2364047472	-0.2809649439	-0.2611398193	-0.2983905372	-0.2428491452	-0.2992165141	-0.247043441	-0.11069906	-0.3190737979	-0.3560218911	-0.1811855593	-0.146803215	-0.04817829816	-0.2404903657	-0.2570008198	-0.2563507654	-0.1018326587	-0.2091369381	-0.3123512002
Chamorro	62.24153507	-15.81170686	-16.17621651	-16.48792848	-16.60993097	-13.76286221	-18.26082887	-17.12690427	31.02266753	-18.13682972	-19.50607565	-16.58131899	-16.78345155	-2.974903194	-17.19439731	-9.507669045	-3.435283209	-18.94144746	-17.53441478	-12.58923417
Daga	72.74260345	-15.62691567	-15.40265494	-17.02608176	-19.45842572	-15.36907244	-20.07862359	-18.59978398	41.9095332	-14.53433447	-23.88501407	-16.85498764	-20.29662667	-2.756347681	-19.2468908	-12.47985875	-3.407903003	-18.4798006	-17.85905948	-15.78897239
Fijian	48.75597714	-17.65144586	-17.37155132	-19.28022036	-19.6545241	-17.19099536	-20.55073393	-19.83956311	24.84099055	-16.36099762	-20.97319436	-16.77126144	-18.00484449	-11.44334231	-19.44887337	-17.10513806	-10.83267682	-18.57743831	-19.032441	-17.96009456
