Target ↓ Transfer →	Basque	English	Finnish	French	German	Greek	Hebrew	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	49.0580978	48.48077667	45.85932508	45.80438984	52.24697753	43.14059677	45.92651735	98.04013385	47.54816703	40.08283166	48.34163599	44.14237056	56.44659856	46.5647576	52.91223666	58.7640874	44.11171794	47.48855085	49.76751605
Amele	43.3695683	42.06832752	42.02079805	41.41062948	43.28954478	40.37434631	39.19896341	82.83882214	42.56853499	37.51440496	43.7984513	40.66357253	54.4155371	40.45133921	44.87390349	51.72268445	41.07714298	41.86311519	43.66115262
Apurina	27.74215706	28.24923531	26.17856497	26.45956075	30.88016066	25.77106142	25.86785004	42.73827069	28.26709907	23.68524008	30.4638951	27.41681567	37.6616635	26.87207593	31.02823537	32.8431977	24.92494574	27.55468331	29.09919719
Arabic_Egyptian	3.67008566	3.886152449	3.722565288	3.789839468	3.871673187	3.836525457	3.789684561	3.80211206	3.771803712	3.588754613	3.988797271	3.878760197	4.471053506	3.775022878	3.890932189	3.98722997	3.732253994	3.729838224	3.85219116
Arapesh_Mountain	37.35976146	37.60007779	35.83175597	34.24668783	38.73084147	33.09714896	34.89032354	76.90950501	38.31717174	30.79046245	37.42165526	35.83363164	46.85826783	35.65520281	40.21878132	43.69825679	33.79655986	36.05130234	39.18602153
Barasano	19.82536132	20.64393903	21.41118894	20.55954998	23.11778807	18.67107385	19.25618873	31.07771409	21.55336748	16.9955511	20.63338938	19.77002666	27.81098302	19.32571047	23.89275501	26.98996592	18.75627947	20.05527488	20.91933066
Burmese	3.037729463	2.993169266	3.012994391	2.975743673	3.031285065	2.974917696	3.027090769	3.16343515	2.955060412	2.918112319	3.092948651	3.127330995	3.225955912	3.033643844	3.01713339	3.017783444	3.172301551	3.064997272	2.96178301
Chamorro	46.42982821	46.06531856	45.75360659	45.6316041	48.47867286	43.9807062	45.1146308	93.26420259	44.10470534	42.73545941	45.66021607	45.45808352	59.26663187	45.04713776	52.73386602	58.80625186	43.3000876	44.70712028	49.6523009
Daga	57.11568778	57.3399485	55.71652168	53.28417773	57.37353101	52.66397986	54.14281947	114.6521366	58.20826898	48.85758937	55.88761581	52.44597678	69.98625577	53.49571265	60.2627447	69.33470044	54.26280285	54.88354397	56.95363105
Fijian	31.10453128	31.38442582	29.47575678	29.10145305	31.56498178	28.20524322	28.91641404	73.59696769	32.39497952	27.78278279	31.9847157	30.75113265	37.31263484	29.30710377	31.65083908	37.92330032	30.17853883	29.72353614	30.79588259
Georgian	21.43241649	22.1668313	22.68043691	21.65212661	23.50564614	25.88210042	22.55027139	37.32362089	25.02854069	21.68469703	21.45114566	23.90201127	40.84558073	21.20482508	25.50405257	31.84410751	25.24148802	22.21353452	24.0410614
Guarani	39.03074681	40.45474081	39.0072591	40.81561403	44.83139353	38.82370934	39.36887628	68.6225966	42.6510647	37.25414622	42.78800555	41.60603083	52.34946077	39.1969416	46.63361864	59.36295314	38.98515272	40.40226012	44.84588326
Hausa	53.57852966	53.63054219	54.08085237	51.39238144	53.70372889	50.2280932	53.36432384	117.5329432	58.68315623	48.73442084	53.28442206	55.72538974	64.36371338	51.06023161	58.66136743	61.90738249	53.14926916	54.58839208	55.75355667
Jakaltek	29.23422807	29.15642263	28.15328696	28.68227501	29.50327944	26.91026428	27.16273775	64.41755741	29.51791631	24.75238275	28.9580198	27.84533726	35.73013174	27.02216176	32.7078578	37.01023004	27.85858077	28.07741189	30.39068935
Kewa	47.96568075	49.14838077	46.48425456	45.8978291	49.80341123	44.49937041	43.80354909	107.5504303	49.20640055	42.97351272	49.08545457	45.50249851	61.53311527	45.84519773	51.20558058	59.15321009	44.96239732	45.85328262	50.52932057
Khalkha	128.2936635	131.9514908	132.243452	126.199238	138.4944629	130.7127005	126.9712354	265.5821015	135.9956767	118.3132443	137.1396697	131.8610354	164.5989019	126.1455197	144.2082391	164.2084431	125.7898329	128.6529327	142.5628441
Khoekhoe	13.27450253	14.43289198	15.10510409	14.14765729	15.33839743	14.36023284	13.45587804	25.73310897	15.51360867	13.9811233	14.27555488	14.77361676	17.61527156	13.6584779	16.70743623	18.31808738	14.12468004	14.25633809	15.98731288
Lango	43.91738231	42.99135858	43.14079013	39.62950553	43.04672818	42.76138597	41.87829875	106.2761166	44.15869705	38.91206825	42.44427959	40.9735354	51.54457857	40.90634517	44.97031695	60.50661523	42.13006643	42.84106805	42.68786576
Malagasy	10.92139144	10.46064183	11.24772812	10.42656454	10.65082122	10.59558879	10.47713331	14.27706886	10.80872412	9.952192052	10.70644535	10.60428561	12.00002759	10.52557435	10.8976086	11.56795003	11.04789555	10.6782926	10.8341259
Mapudungun	31.58091246	33.47362546	32.22408858	31.55664213	34.25218507	30.18983157	31.27974042	67.22450022	33.65775696	27.96611194	33.74958061	32.10091462	41.86026554	31.77638262	36.2812665	39.87484584	31.38541356	31.9171767	34.89786442
Mixtec_Chalcatongo	11.31131793	12.79945068	11.78942426	12.24635709	12.66361895	11.72106225	11.57966328	16.97818859	11.98102381	10.9773861	12.13768352	12.7155765	15.32988409	11.4864044	13.95049732	15.7788657	11.06726144	11.30279275	12.12743371
Oromo_Harar	58.41596368	57.54828059	56.74508505	55.75237658	58.31401967	53.65492904	55.79020568	101.7586986	60.04531768	50.50524125	60.36651418	55.20402974	74.37835498	54.94954765	59.63991768	66.68390778	54.8649233	57.6552734	62.06286671
Quechua_Imbabura	33.84906827	34.47619267	32.10018531	32.60036183	35.3404555	30.52976207	31.80595993	61.83927868	34.03565182	29.3267389	35.81383896	32.9135963	42.02327071	33.39922308	36.97707635	36.93282288	31.6890604	33.55268481	37.54292978
Sango	25.4252004	25.41251426	24.61878816	23.40986672	24.74741287	22.44559227	23.26754701	53.39992376	25.56611561	21.43212462	25.52637047	23.90288792	31.61963031	23.13652732	25.8874537	31.57436417	24.25286153	24.62648317	26.62262522
Sanuma	16.7307386	16.27259563	16.19244875	15.48476048	17.08905745	14.75993021	15.13524528	31.39630807	16.60523744	13.09300646	16.99138479	14.94474836	19.7165808	15.89869417	18.36210708	20.75503237	15.57056435	15.84125096	15.83300117
Swahili	14.07290606	13.62242859	13.98207231	13.4245057	13.73816571	13.89354196	13.46288742	18.6150268	14.10513617	13.36712226	14.26118016	13.60082678	15.21118309	13.38296551	14.10942246	14.76408531	14.26169261	14.42130294	13.62222124
Wichi	16.68922103	16.51470388	16.09400532	15.92953998	17.83431557	15.65268455	15.66101567	30.44699685	16.74832814	14.86641003	17.20820314	16.01882761	19.38992162	16.12509832	17.55931654	19.86754432	15.84554705	16.16579982	17.55515646
Yagua	16.51150188	17.93545547	18.25429636	17.0936982	17.98733007	16.82137319	16.91649827	27.22677004	18.26907505	15.79423159	17.70450961	17.07196414	21.55737763	16.2402953	18.40025424	21.08941472	16.64248334	17.16844607	17.05570731
Yaqui	31.6194	31.82208775	30.77785971	30.76827409	33.7777914	27.48419755	30.05804859	59.59536784	32.41854001	26.33828487	31.53471912	29.08053257	35.8998612	30.92989883	33.36792595	39.81472709	28.84746077	31.3012669	31.56343004
Yoruba	8.820955053	8.241376083	8.596676726	8.210399366	8.401972667	8.223637313	8.407137423	12.3182703	8.440122342	7.939642549	8.570517602	8.288392947	9.538734183	8.213010335	8.705346273	9.955372702	8.526860321	8.706481779	8.927710848
