Target ↓ Transfer →	mT5	Basque	English	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	3.720132017	0.08280816078	-0.01718859673	0.04943652153	-0.005838918686	0.0111333847	-0.06104931831	0.0689930439	0.08317360878	-0.01372303963	-0.04788794518	-0.02540826797	-0.03813562393	-0.04572697878	-0.07080397606	0.00566277504	0.08774747849	-0.05610451698	-0.003205537796	0.04208340645
Amele	3.619268703	0.06980071068	-0.07897267342	-0.0002537727356	-0.05259270668	-0.02403926849	-0.1142099857	0.04463510513	0.05917596817	-0.0335258007	-0.1062347412	-0.09585127831	-0.07601714134	-0.07317249775	-0.1407737255	-0.05134315491	0.03716959953	-0.09402198792	-0.04282331467	0.02213282585
Apurina	3.127158928	0.02148275375	-0.04145512581	-0.008374595642	-0.03599500656	-0.013474226	-0.08943924904	0.04702277184	0.07176499367	-0.0303299427	-0.06622486115	-0.06654262543	-0.06305308342	-0.05003111362	-0.1028215885	-0.03481855392	0.06215734482	-0.07491483688	-0.02039337158	0.01308970451
Arabic_Egyptian	1.052589679	0.01151385307	0.01890184879	0.01530761719	0.01395332813	0.02536709309	-0.01716217995	0.05538802147	-0.002277970314	0.05072569847	0.03018369675	0.03625764847	0.06474740505	-0.01148563027	-0.008356499672	0.02012221813	0.06832504272	0.002760243416	-0.009588563442	0.01131665707
Arapesh_Mountain	3.494826031	0.1426077843	0.05387878418	0.09892654419	0.04628348351	0.08397388458	-0.02138185501	0.1318904877	0.2123437405	0.05867395401	0.02912797928	0.04219441414	0.02639751434	-0.01034570932	-0.03104615211	0.04538421631	0.1175180435	0.02810735703	0.06571292877	0.1025603771
Barasano	2.683976269	0.0898378849	-0.01762781143	0.04394345284	-0.01126365662	0.01178889275	-0.05150313377	0.09428830147	0.07163505554	0.01370520592	-0.02618775368	-0.01524171829	-0.01881194115	-0.02223966122	-0.06559681892	-0.02111420631	0.1274279118	-0.04014105797	0.009750890732	0.0593682766
Burmese	2.047363758	-0.08111107349	-0.0961676836	-0.03302578926	-0.0617795229	-0.04832527637	-0.1159493685	0.01051664352	-0.07259683609	-0.05230455399	-0.05778300762	-0.03286955357	-0.006015586853	-0.1138738692	-0.1309286594	-0.07998564243	-0.005746555328	-0.01348159313	-0.1011200666	-0.0820243597
Chamorro	3.719145966	0.0269657135	-0.09263644218	0.0151447773	-0.04685502052	-0.02366933823	-0.08211789131	0.04424424171	0.01650671959	-0.07343044281	-0.07924618721	-0.08259243965	-0.06819386482	-0.07525647879	-0.1237138271	-0.05798783302	0.007448863983	-0.09215836525	-0.05225701332	0.03031520844
Daga	3.851400566	0.04838104248	-0.09075202942	0.01200170517	-0.0661989212	-0.04044585228	-0.1255915165	0.0313337326	0.05034956932	-0.05492424965	-0.1172830105	-0.09164619446	-0.09537162781	-0.1057814479	-0.1411577225	-0.04999022484	0.03405189514	-0.110113287	-0.06572957039	0.002667474747
Fijian	2.658794832	0.01003184319	-0.09284934998	-0.0703774929	-0.05450086594	-0.04813404083	-0.1552082062	0.005485105515	0.05563473701	-0.06991209984	-0.08635072708	-0.1046886921	-0.04512748718	-0.1140886664	-0.1882265091	-0.03769397736	0.01369972229	-0.1332854748	-0.128853178	-0.05257573128
Georgian	3.973442745	-0.3805007935	-0.4311088085	-0.2451021194	-0.2729485035	-0.2555323601	-0.3841762543	-0.09948415756	-0.3529751301	-0.3880971432	-0.4671019554	-0.4389075279	-0.2568444729	-0.3722387671	-0.5296229839	-0.3640006542	-0.2317349434	-0.4076581955	-0.5056885719	-0.2632780552
Guarani	3.325833082	0.0603477478	-0.07972517014	-0.001484012604	-0.02412962914	-0.004507255554	-0.09403619766	0.06633062363	0.04019203186	-0.03961453438	-0.07059497833	-0.09770584106	-0.0636824131	-0.0691793561	-0.1448136806	-0.03835492134	0.1070403099	-0.09903798103	-0.04712781906	0.02909507751
Hausa	2.327503347	-0.03669996262	-0.1390636444	-0.07576403618	-0.07723588943	-0.07257814407	-0.1878046989	-0.03450479507	-0.04345917702	-0.1173461914	-0.1581617832	-0.1616693974	-0.08564038277	-0.1456962466	-0.2163004875	-0.07416539192	-0.0004630565643	-0.1940894604	-0.1354200363	-0.08817439079
Jakaltek	3.393861246	0.1492391109	0.01065115929	0.09798827171	0.03769321442	0.05793690681	-0.01270008087	0.1003910542	0.133854723	0.02388491631	0.006707954407	0.01612920761	0.003269529343	-0.0006463646889	-0.05690321922	0.01926941872	0.1649482727	0.01227946281	0.02295160294	0.09371542931
Kewa	3.688953543	0.06558184624	-0.02665629387	0.03597011566	-0.003636884689	0.04357404709	-0.08229665756	0.05428891182	0.08965172768	-0.002410268784	-0.06431603432	-0.04501276016	-0.0360765934	-0.06642516851	-0.09634823799	-0.01517519951	0.0457678318	-0.07454519272	-0.01693520546	0.02986655235
Khalkha	3.428667688	0.05721607208	-0.05312342644	0.01023402214	-0.03592457771	0.0006407260895	-0.1105015278	0.04796638489	0.1135136127	-0.008333015442	-0.0758559227	-0.06775026321	-0.05537457466	-0.09296163321	-0.1187107563	-0.05074706078	0.0522195816	-0.09948673248	-0.06572227478	0.03699479103
Khoekhoe	3.181403971	0.03505268097	-0.03189787865	0.09674191475	-0.0203037262	-0.01784515381	-0.07405695915	0.1033435822	0.07527675629	-0.04830083847	-0.05823531151	-0.0469353199	-0.06713395119	-0.05238637924	-0.1322880745	-0.0117067337	0.1444167614	-0.04756464958	-0.03109116554	0.1270992279
Lango	3.730070066	-0.0153450489	-0.1330894947	-0.04897060394	-0.1037675381	-0.05656285286	-0.1630798817	-0.03039646149	-0.0394926548	-0.09500536919	-0.1518678665	-0.1373860836	-0.1340522766	-0.1403857589	-0.1882491112	-0.08722710609	-0.01258091927	-0.1581611156	-0.1119303703	-0.03946771622
Malagasy	1.868973207	0.03236596584	-0.0670345068	-0.03542010784	-0.05748646259	-0.01155457497	-0.1187183857	0.01645185947	-0.01896367073	-0.03750016689	-0.08387956619	-0.0597291708	-0.01565601826	-0.07710511684	-0.1523980141	-0.04730522633	0.02810497284	-0.09412155151	-0.0524214983	-0.0529556036
Mapudungun	3.635790014	0.07089247704	-0.04268975258	0.04195761681	-0.01671772003	-0.009406614304	-0.07868242264	0.05639090538	0.06844325066	-0.03176150322	-0.05765390396	-0.05536432266	-0.06621928215	-0.06570234299	-0.1130193233	-0.02199335098	0.08279485703	-0.06157484055	-0.02504620552	0.02341566086
Mixtec_Chalcatongo	2.678260994	0.1172122478	0.07115130424	0.09018654823	0.03417134285	0.02649354935	-0.022153759	0.06969819069	0.1555473328	0.01638631821	0.0136701107	0.02699041367	0.007625818253	-0.02669949532	-0.08740420341	0.04483437538	0.2722504139	0.000310087204	0.03210067749	0.1250165939
Oromo_Harar	3.144258547	0.01235604286	-0.0857863903	0.006321430206	-0.01784615517	-0.03551840782	-0.1241827965	0.005795907974	0.05759472847	-0.05816679001	-0.09673252106	-0.1180642605	-0.06793627739	-0.09513263702	-0.1667406559	-0.04752621651	0.01710886955	-0.1172962189	-0.08662085533	-0.04625291824
Quechua_Imbabura	3.199558687	0.09348649979	-0.03871188164	0.01777105331	-0.02054128647	0.02413902283	-0.1254673481	0.04538702965	0.09908323288	-0.01371955872	-0.07619628906	-0.06613574028	-0.06492567062	-0.058764112	-0.125978756	-0.0280397892	0.07732639313	-0.08831820488	-0.004779052734	0.005383014679
Sango	2.302183962	0.006596565247	-0.08810210228	-0.02928419113	-0.05913076401	-0.03941597939	-0.09910821915	0.0613948822	-0.0198700428	-0.06719694138	-0.06838364601	-0.05651192665	-0.024087286	-0.09303108454	-0.1183927059	-0.07719378471	0.02289505005	-0.1022782803	-0.0837829113	-0.04043412209
