Target ↓ Transfer →	Basque	English	Finnish	French	German	Greek	Hebrew	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	3.802940178	3.70294342	3.769568539	3.714293098	3.731265402	3.659082699	3.789125061	3.803305626	3.706408978	3.672244072	3.694723749	3.681996393	3.674405038	3.649328041	3.725794792	3.807879496	3.6640275	3.716926479	3.762215424
Amele	3.689069414	3.54029603	3.619014931	3.566675997	3.595229435	3.505058718	3.663903809	3.678444672	3.585742903	3.513033962	3.523417425	3.543251562	3.546096206	3.478494978	3.567925549	3.656438303	3.525246716	3.576445389	3.641401529
Apurina	3.148641682	3.085703802	3.118784332	3.091163921	3.113684702	3.037719679	3.1741817	3.198923922	3.096828985	3.060934067	3.060616302	3.064105844	3.077127814	3.024337339	3.092340374	3.189316273	3.052244091	3.106765556	3.140248632
Arabic_Egyptian	1.064103532	1.071491528	1.067897296	1.066543007	1.077956772	1.035427499	1.1079777	1.050311708	1.103315377	1.082773376	1.088847327	1.117337084	1.041104048	1.044233179	1.072711897	1.120914721	1.055349922	1.043001115	1.063906336
Arapesh_Mountain	3.637433815	3.548704815	3.593752575	3.541109514	3.578799915	3.473444176	3.626716518	3.707169771	3.553499985	3.52395401	3.537020445	3.521223545	3.484480321	3.463779879	3.540210247	3.612344074	3.522933388	3.56053896	3.597386408
Barasano	2.773814154	2.666348457	2.727919722	2.672712612	2.695765162	2.632473135	2.77826457	2.755611324	2.697681475	2.657788515	2.66873455	2.665164328	2.661736608	2.61837945	2.662862062	2.811404181	2.643835211	2.69372716	2.743344545
Burmese	1.966252685	1.951196074	2.014337969	1.985584235	1.999038482	1.93141439	2.057880402	1.974766922	1.995059204	1.98958075	2.014494205	2.041348171	1.933489889	1.916435099	1.967378116	2.041617203	2.033882165	1.946243691	1.965339398
Chamorro	3.746111679	3.626509523	3.734290743	3.672290945	3.695476627	3.637028074	3.763390207	3.735652685	3.645715523	3.639899778	3.636553526	3.650952101	3.643889487	3.595432138	3.661158133	3.72659483	3.6269876	3.666888952	3.749461174
Daga	3.899781609	3.760648537	3.863402271	3.785201645	3.810954714	3.72580905	3.882734299	3.901750135	3.796476316	3.734117556	3.759754372	3.756028938	3.745619118	3.710242844	3.801410341	3.885452461	3.741287279	3.785670996	3.854068041
Fijian	2.668826675	2.565945482	2.588417339	2.604293966	2.610660791	2.503586626	2.664279938	2.714429569	2.588882732	2.572444105	2.55410614	2.613667345	2.544706166	2.470568323	2.621100855	2.672494555	2.525509357	2.529941654	2.606219101
Georgian	3.592941952	3.542333937	3.728340626	3.700494242	3.717910385	3.589266491	3.873958588	3.620467615	3.585345602	3.50634079	3.534535217	3.716598272	3.601203978	3.443819761	3.609442091	3.741707802	3.56578455	3.467754173	3.71016469
Guarani	3.38618083	3.246107912	3.32434907	3.301703453	3.321325827	3.231796885	3.392163706	3.366025114	3.286218548	3.255238104	3.228127241	3.262150669	3.256653726	3.181019402	3.287478161	3.432873392	3.226795101	3.278705263	3.35492816
Hausa	2.290803385	2.188439703	2.251739311	2.250267458	2.254925203	2.139698648	2.292998552	2.28404417	2.210157156	2.169341564	2.16583395	2.241862965	2.181807101	2.11120286	2.253337955	2.327040291	2.133413887	2.192083311	2.239328957
Jakaltek	3.543100357	3.404512405	3.491849518	3.431554461	3.451798153	3.381161165	3.4942523	3.527715969	3.417746162	3.400569201	3.409990454	3.397130775	3.393214881	3.336958027	3.413130665	3.558809519	3.406140709	3.416812849	3.487576675
