Target ↓ Transfer →	Basque	English	Finnish	French	German	Greek	Hebrew	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	59.20711231	59.216871	66.14285775	56.91232805	58.84094151	56.95439869	53.93770851	99.15265587	57.2070028	54.26831541	53.16569944	53.48631891	68.19624695	65.63379114	60.02564027	80.85724639	62.82312291	58.49362913	59.70020597
Amele	70.31090515	63.75121033	72.08082856	64.46957682	62.53440679	61.58251873	57.31302027	114.5704667	70.22541004	59.21458403	55.10620507	56.78294809	78.96703967	75.78134821	66.73294472	79.43077213	68.053718	69.63486467	68.87534742
Apurina	41.54793528	42.05606961	46.72060521	42.8452836	42.63587248	41.96699334	39.79427051	54.42897259	42.21079407	41.33952251	40.43291704	38.05658559	46.06712639	48.84851603	45.14611051	52.75452979	47.54892461	45.90170776	45.2202391
Arabic_Egyptian	2.577544445	2.568312265	2.533045343	2.552141679	2.537606715	2.543368515	2.517502006	2.594985133	2.512013355	2.541531199	2.513869495	2.560392075	2.664211766	2.64461659	2.55692468	2.637635187	2.589315793	2.617355107	2.514488572
Arapesh_Mountain	64.95614841	63.38013662	70.2972567	61.14775603	63.00197263	61.73753049	59.03363872	119.9754017	61.57095785	58.68869661	56.83731305	56.93095593	73.12798751	72.62288534	62.67174891	78.27664502	70.39316443	68.92580389	63.72638172
Barasano	27.07495431	22.21344153	24.48996201	22.13261442	21.84787377	20.53287227	20.39399324	28.83285788	24.53737865	22.52178238	20.6969896	20.94072298	24.69874834	23.36807823	22.50832981	31.35624416	24.59309409	24.55102159	24.58702273
Burmese	7.414029064	6.753270735	6.808742248	6.594619991	6.904369595	6.999835901	7.146605895	12.3981184	6.908873264	6.372466702	7.155899201	7.060559239	7.178244812	6.982548164	7.096171491	8.035895661	7.377860997	7.505013134	7.531015859
Chamorro	97.89026274	86.80131021	100.067791	86.56435406	86.56190447	97.58806214	84.65572829	126.0923653	100.6702088	85.37254263	80.03410947	82.55667271	105.3160275	110.7197805	105.4754385	113.7768701	101.6035852	95.0321082	102.6454901
Daga	92.82634764	80.72354796	96.95732161	82.34598706	81.57659367	83.44236231	77.95498979	129.8504193	90.4708733	78.33177578	75.31282278	76.56491562	94.89898907	99.80190962	93.71604563	108.4412462	88.97285947	88.20853025	87.11190788
Fijian	44.7054801	41.04955217	45.0430574	38.83916793	41.20284182	37.89251741	38.61938359	68.53569757	41.78786579	39.41392014	36.64951351	38.00469338	43.77377775	48.01223029	39.62006975	43.92531254	45.68052285	45.18835036	37.68557884
Georgian	136.3110619	94.79322749	116.2589516	94.33833101	161.0003504	55.56786835	69.3501885	131.3121618	103.2706249	66.72840402	50.81913461	85.4691801	113.1740782	168.0748475	111.9519553	92.66469388	66.34790978	166.3448442	73.75680287
Guarani	85.29882098	68.1706854	78.84296829	71.37103997	71.7622642	71.59576832	66.17121409	91.18306187	73.69387199	66.44899775	63.93556516	65.16440421	79.3183499	90.18673389	81.75414728	101.3911837	75.14022924	76.62983063	81.49910321
Hausa	9.634953141	9.411730652	9.816017902	9.248463125	9.476665159	9.438104626	9.514683452	11.09493726	9.340101788	9.18006935	9.211103119	9.922091162	10.97898962	9.921909509	9.15302358	9.981999256	9.952892115	10.24244409	9.424793587
Jakaltek	49.46924523	45.14667544	47.35299207	44.73045082	44.63545457	42.11228992	42.53594278	72.47485636	50.11016616	42.70728299	41.40754998	42.93447886	50.01712052	51.28405093	44.27952375	57.76031766	47.57956556	47.16976149	49.03353241
Kewa	73.80224037	68.12158918	81.44931075	69.00893476	71.51087042	66.98364619	67.03897796	121.78113	72.30928149	69.05742409	64.06554748	66.29049277	77.26911579	84.65633457	72.31363794	83.23162193	79.06524457	71.76327559	72.88318685
Khalkha	167.7919845	154.6036765	173.1786763	155.2172035	153.0603593	164.5860959	149.0850915	271.9703592	175.6497078	142.8617779	139.4679792	145.6332097	187.4063968	179.8388889	163.5901781	208.5067346	165.8424059	164.2609163	171.7635353
Khoekhoe	30.58044651	29.27415458	32.70937344	29.86090971	28.70995266	30.1731874	29.69324606	37.25984286	30.5939387	31.03028442	27.87838429	32.58213823	37.96436631	35.29491395	32.11071641	45.10595173	34.91547735	34.64684776	33.64481368
Lango	65.67445847	60.04848387	67.37927026	57.7046524	59.2556845	57.57264275	57.16768876	106.3578028	65.0420985	55.07421475	54.0565423	54.5945516	69.5336483	69.48487926	65.27497277	75.65836748	69.27641406	64.95512633	63.49836116
Malagasy	6.053633527	6.206581986	6.387068878	6.098276139	6.214776343	6.410310977	6.386496279	6.944505704	6.241350088	6.170990199	6.147499149	6.398307921	6.743122782	6.540630623	6.029661101	6.791316961	6.48356588	6.553369961	6.195341797
Mapudungun	46.52276324	43.68092562	51.13918723	45.91334223	44.30953059	44.55090172	43.39531285	80.15191466	47.46052268	45.60857664	41.50823398	41.90387553	51.56708204	55.51326585	46.59628897	59.28058487	49.17221949	48.26001321	48.15017939
Mixtec_Chalcatongo	24.20338538	17.49667509	21.37587034	17.57072398	17.54603048	18.02654035	17.00551102	24.36827427	20.5030831	17.92674687	16.12093978	17.72497206	22.37549071	25.11807381	22.26518539	32.72874936	20.10640406	19.76142677	24.12359921
Oromo_Harar	17.15104847	15.98449375	19.67018725	16.02815506	16.50063813	15.93633416	16.40394883	23.95939331	16.48135326	16.38907896	15.99277935	16.80060814	18.32808089	17.83115757	15.86499163	16.4017713	17.15670001	17.3895921	16.00860707
Quechua_Imbabura	52.9559404	50.18052989	54.07159437	48.23790353	53.22557028	47.97317347	49.05447097	81.58791024	52.50731995	49.8412529	47.14252404	45.3760776	55.7598349	55.91407152	46.80745317	55.1454251	53.50220886	52.35464818	53.110333
Sango	46.24217469	41.74641576	46.14123641	41.72744623	42.01783192	38.92228705	39.08433063	71.74618915	46.3594625	39.41672386	37.46279181	38.94015795	50.54188291	52.22336157	41.41114016	53.0689809	49.66848705	48.3308597	44.4651413
Sanuma	31.57624209	27.50841783	37.8177105	28.5234385	26.96061512	27.01376402	26.64274839	43.84008838	29.68605587	25.74703899	24.8834873	24.78692234	32.726836	36.43209263	30.11241803	40.07883557	32.74181842	30.82625755	28.76363799
Swahili	9.545621853	10.10204989	10.67534043	10.37944389	10.32675891	10.24006059	10.46138864	11.71725268	9.885104314	10.11918544	10.08584434	10.67673532	11.47137191	11.0376806	11.07457412	10.28424385	11.21905563	10.56657952	9.980079593
Wichi	40.35521672	37.84344969	41.68762147	38.18764791	36.41557035	37.28186708	35.14532392	57.39331501	39.03091386	36.83301775	34.05350858	34.35702758	41.82939559	43.25769303	39.78615211	54.23134991	40.6379891	40.02775021	42.2542477
Yagua	40.41398577	36.41169223	38.53687732	34.32282829	34.90167082	35.28722583	34.84185362	60.73392531	39.68164437	34.33756528	35.44539355	35.00933156	42.18576432	39.80442154	36.59640097	51.83575827	37.00487272	37.34926813	36.10373063
Yaqui	42.1284731	38.15519141	44.33366407	38.85552493	40.23990218	37.54714543	37.31709505	61.26022751	39.31745056	37.82621122	36.17739237	35.30240885	42.45606731	43.0753358	40.12310933	50.76658571	41.11343663	41.27481139	39.47042327
Yoruba	26.56974436	23.83953241	27.50250809	24.15339864	23.81585829	25.49965413	23.02823232	32.4372469	27.22218186	23.68895711	21.6415841	23.81438445	29.87054884	35.12833591	26.05970439	33.10749976	26.98442356	25.65864184	25.87016017
