language,sue_bpe_minr,sue_bpe_v,sue_morf,sue_wp_mbert,sue_spm,ppl_mbert,ppl_xlmr,ppl_mt5,avg_ppl_all
Basque,118.154005707861,111.06084609997,90.3066435660524,92.9154356908496,79.4695999156691,32.37961784,50.35973867,3.055872657,28.5984097223333
English,118.043723213304,104.065544642293,99.9794337286302,102.495871740739,103.646094348206,32.7074461,44.9079967,2.961744074,26.8590622913333
Finnish,118.35456282784,102.64363810568,89.0329800930752,88.0279020352079,107.977964817846,32.08337242,51.24892983,3.028857176,28.787053142
French,116.702506406227,110.432073925195,94.8036397188147,111.922241693198,103.600809386522,31.28612032,44.86273147,2.989527003,26.3794595976667
German,115.139014227112,90.9118124815572,88.1277896202753,96.2092610631,98.8809534872213,33.85365501,47.31769127,3.00877876,28.06004168
Greek_Modern,101.6591160789,94.635094155939,79.2141405947186,83.9746876145081,75.7899373245978,30.76218625,43.79864427,2.924506203,25.8284455743333
Hebrew_Modern,97.9364894275965,111.712839747986,99.9397451534297,115.146520093591,99.3582148739735,31.08422452,42.35635288,3.066315334,25.502297578
Hindi,121.32523058167,117.805310800924,111.707038814492,113.333670871941,104.817333311508,63.6066058,71.86687786,3.065196629,46.1795600963333
Indonesian,123.488620165923,93.065060865918,101.772364733604,78.1638109940912,97.518220446254,33.43750828,48.41625372,2.986017919,28.2799266396667
Japanese,101.689054855649,92.0511677979245,93.2703449170003,103.283151088237,117.119487043565,28.77050923,42.5019646,2.949905386,24.740793072
Korean,100.538844867774,90.7008535347068,70.4760107196165,83.0700633481574,91.914269874648,33.17569399,40.18030411,2.956554375,25.4375174916667
Mandarin,91.1351421827567,101.676982653265,72.8914206209395,98.0144748329275,86.5465511111939,31.73745798,42.22087068,2.977342811,25.6452238236667
Persian,126.21471558882,124.114745678441,120.272266447313,117.033480174409,118.158756846853,40.81871425,52.54686478,2.945562185,32.1037137383333
Russian,119.614805839491,95.2460288550328,89.1455740890891,100.802835278915,81.8557851813121,31.15436764,55.5011461,2.894496278,29.8500033393333
Spanish,121.268899584691,102.314070691862,88.6931840213121,100.997664845429,90.4875716216977,35.30726964,48.29015529,2.985137418,28.860854116
Tagalog,115.892382891301,99.3563452329341,81.6612817876403,96.2071586154232,93.028796553058,40.26858067,57.91714563,3.089132561,33.758286287
Thai,101.325690002255,103.87144476228,79.4984965672447,104.934155326871,102.251794077834,31.11853741,48.45158294,2.941660685,27.5039270116667
Turkish,105.679796390471,97.7449629733708,88.9701366003199,103.160056706095,90.4120079571874,31.97814781,50.68082163,2.971228373,28.543399271
Vietnamese,118.291785499597,116.667165483419,94.6134549968513,110.260003094679,108.471917589345,34.07642045,47.65324295,3.029663084,28.253108828
